Skills,Roles,Experience,Availability,ProjectAssignment,BurnRate,PerformanceRating,Overtime,NumberOfProject,AverageMonthlyHours,TimeSpendCompany,Age,Gender,HistoricalPerformanceData,YearsAtCompany,PromotionLast5Years
"UML, Data Modeling, Requirements Gathering, Business Analysis, System Design",System Analyst,15,Occupied,Networked well-modulated instruction set,0.9,1,False,1,206,8,30,Male,"4, 3, 2, 2, 4",8,True
"Leadership, Budgeting, Risk Management",IT Manager,15,Occupied,Balanced empowering migration,0.17,2,False,3,248,5,53,Female,"2, 5, 1, 3, 4",3,False
"Docker, Python, Kubernetes",Cloud Engineer,1,Available,Pre-emptive impactful toolset,0.47,1,True,1,166,5,27,Male,"4, 1, 5, 3, 3",4,False
"Shell Scripting, Kubernetes, Jenkins",DevOps Engineer,6,Available,Innovative mission-critical help-desk,0.82,2,True,3,204,8,23,Male,"4, 4, 1, 1, 5",3,True
"Strategic Planning, Vendor Management, Risk Management",IT Manager,17,Occupied,Reduced didactic middleware,0.37,1,True,9,243,7,49,Female,"3, 4, 4, 2, 1",1,False
"Data Modeling, System Design, Business Analysis, Requirements Gathering, UML",System Analyst,21,Occupied,Devolved executive challenge,0.32,3,False,6,206,6,36,Male,"2, 3, 5, 4, 2",10,False
"Project Management, Leadership, ITIL, Strategic Planning",IT Manager,6,Available,Versatile bandwidth-monitored process improvement,0.83,5,False,2,249,10,35,Male,"4, 3, 1, 5, 3",0,False
"Budgeting, Leadership, Project Management",IT Manager,4,Available,Function-based national strategy,0.93,1,True,1,226,10,55,Male,"3, 4, 2, 4, 2",3,True
"Leadership, Budgeting, Vendor Management, Project Management, Strategic Planning",IT Manager,13,Occupied,Robust client-server function,0.22,3,False,7,211,5,52,Male,"3, 3, 1, 5, 1",10,False
"Python, CSS, Java, SQL, C++",Software Engineer,24,Available,Cross-platform upward-trending archive,0.34,4,True,1,176,3,30,Male,"4, 2, 1, 3, 2",9,False
"Azure, Python, AWS, Kubernetes, Docker",Cloud Engineer,2,Available,Synergized full-range leverage,0.5,1,True,3,169,5,53,Female,"5, 2, 3, 1, 3",0,True
"Shell Scripting, CI/CD, Jenkins",DevOps Engineer,7,Occupied,Realigned bandwidth-monitored help-desk,0.34,3,False,2,172,6,24,Male,"4, 5, 5, 5, 5",0,False
"SQL, Python, React, CSS",Software Engineer,13,Available,Optional foreground pricing structure,0.8,3,False,7,228,7,41,Female,"2, 3, 3, 3, 5",3,False
"TensorFlow, SQL, Matplotlib, Python",Data Scientist,6,Occupied,Sharable demand-driven neural-net,0.06,2,True,3,171,1,26,Male,"2, 5, 1, 5, 3",8,True
"Google Cloud, Cloud Security, Terraform, Azure",Cloud Engineer,18,Occupied,Polarized leadingedge model,0.41,2,False,10,171,10,55,Male,"4, 3, 2, 1, 2",7,False
"Strategic Planning, Project Management, ITIL",IT Manager,26,Occupied,Fundamental analyzing workforce,0.49,2,True,3,203,5,51,Male,"4, 2, 1, 3, 4",0,False
"Leadership, Strategic Planning, Risk Management, Project Management, Vendor Management",IT Manager,6,Occupied,Reactive 24/7 array,0.89,3,True,4,246,6,23,Male,"1, 3, 4, 5, 2",7,False
"ITIL, Strategic Planning, Budgeting, Risk Management, Vendor Management",IT Manager,19,Occupied,Up-sized impactful strategy,0.99,3,True,7,214,10,38,Female,"4, 1, 1, 3, 2",1,True
"AWS, Monitoring, CI/CD",DevOps Engineer,12,Occupied,Synchronized responsive ability,0.07,4,True,9,175,2,30,Female,"1, 4, 2, 5, 4",6,True
"JavaScript, Java, Django",Software Engineer,11,Available,Seamless modular groupware,0.62,4,True,1,182,5,25,Male,"5, 3, 5, 5, 3",1,False
"Python, Java, React, C++",Software Engineer,16,Occupied,Fully-configurable upward-trending Graphic Interface,0.53,1,False,4,175,1,38,Female,"4, 1, 1, 2, 1",8,True
"AWS, Networking, Google Cloud",Cloud Engineer,28,Available,Triple-buffered asymmetric core,0.11,1,True,5,184,9,50,Male,"3, 2, 4, 2, 1",7,False
"Risk Management, Project Management, Budgeting, Leadership, ITIL",IT Manager,3,Available,Re-contextualized directional encoding,0.94,3,False,7,194,9,59,Female,"2, 4, 4, 5, 1",2,True
"Risk Management, Budgeting, Leadership",IT Manager,4,Occupied,Digitized needs-based knowledge user,0.61,1,False,1,195,7,24,Male,"2, 2, 2, 4, 2",1,False
